framework,pde,model,setting,size,split,mean_relative_error,std_relative_error,predict_time_seconds,n_eval,ood_file,n_train,n_params,train_time_seconds,epochs,lr,batch_size,num_trunk,num_branch,num_leaf
Framework2,Nonlinear_Klein_Gordon,mno,MNO,small,test,0.1223366260528564,0.052434679120779,0.3757903277873993,4000,,10000,571905,275.33295935578644,200,0.001,64,20,10,5.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,small,ood,0.2865603864192962,0.1925424933433532,0.3758065160363912,4000,ood.h5,10000,571905,275.33295935578644,200,0.001,64,20,10,5.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,small,ood,0.0924411639571189,0.0342959314584732,0.375935859978199,4000,ood_init_GP.h5,10000,571905,275.33295935578644,200,0.001,64,20,10,5.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,small,ood,0.3456968367099762,0.1125049740076065,0.3753833621740341,4000,ood_init_amp.h5,10000,571905,275.33295935578644,200,0.001,64,20,10,5.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,small,ood,0.2865603864192962,0.1925424933433532,0.3759835213422775,4000,ood_par.h5,10000,571905,275.33295935578644,200,0.001,64,20,10,5.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,small,ood,0.1883774548768997,0.0986101701855659,0.3759536705911159,4000,ood_par_init_GP.h5,10000,571905,275.33295935578644,200,0.001,64,20,10,5.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,small,ood,0.4343142211437225,0.1191698238253593,0.3769323881715536,4000,ood_par_init_amp.h5,10000,571905,275.33295935578644,200,0.001,64,20,10,5.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,medium,test,0.1081161946058273,0.0532804690301418,0.3737876284867525,4000,,10000,1199010,275.5599677395076,200,0.001,64,20,20,10.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,medium,ood,0.2964912056922912,0.2283496856689453,0.372744869440794,4000,ood.h5,10000,1199010,275.5599677395076,200,0.001,64,20,20,10.0
Framework2,Nonlinear_Klein_Gordon,mno,MNO,medium,ood,0.0740358829498291,0.0265986490994691,0.372231300920248,4000,ood_init_GP.h5,10000,1199010,275.5599677395076,200,0.001,64,20,20,10.0
